Location,Location,Industry,Revenue,Company Name
0,1,2,3.0,4
Via Maurizio Gonzaga 5,,E-commerce,7.337,Winelivery S.r.l.
Via Damiano Chiesa 53,Bitritto,Servizi generali,8.375,Pegaso Security S.r.l.
Piazza IV Novembre 4,Milano,Vendita al dettaglio & all'ingrosso,13.889,Euro Top Brand S.r.l.s.
Piazza Manifattura 1,Rovereto,Energia,3.585,Infinityhub S.p.A. Benefit
Via Solferino 36,Milano,Servizi finanziari,11.302,Credimi S.p.a.
Via Fratelli Galliari - 6,Treviglio,Vendita al dettaglio & all'ingrosso,5.722,H.K.Trading S.r.l.
Via Confienza 10,Torino,Servizi generali,2.496,CheTariffa.it
"Via Medina, 5",Napoli,Pubblicità & marketing,4.009,Spin Up S.r.l.
Via Marcandreola 5,Ciampino,E-commerce,6.945,Tsunami Nutrition S.r.l.
"Via Degli Insorti, 2",Faenza,Servizi generali,43.195,Consorzio Blu Soc. Coop. Sociale
