Requested_prod_id,Requested_GTIN(EAN/UPC),Requested_Icecat_id,ErrorMessage,Supplier,Prod_id,Icecat_id,GTIN(EAN/UPC),Category,CatId,ProductFamily,ProductSeries,Model,Updated,Quality,On_Market,Product_Views,HighPic,HighPic Resolution,LowPic,Pic500x500,ThumbPic,Folder_PDF,Folder_Manual_PDF,ProductTitle,ShortDesc,ShortSummaryDescription,LongSummaryDescription,LongDesc,ProductGallery,ProductGallery Resolution,ProductGallery ExpirationDate,360,EU Energy Label,EU Product Fiche,PDF,Video/mp4,Other Multimedia,ProductMultimediaObject ExpirationDate,ReasonsToBuy
"","",1654062,"",HP,BC054AAE,1654062,"",Software Licenses/Upgrades,803,"","",TeemTalk Terminal Emulator 7 E-License,20220711134045,SUPPLIER,1,100878,https://images.icecat.biz/img/gallery/1654062_8520117868.jpg,573x430,https://images.icecat.biz/img/gallery_lows/1654062_8520117868.jpg,https://images.icecat.biz/img/gallery_mediums/1654062_8520117868.jpg,https://images.icecat.biz/img/gallery_thumbs/1654062_8520117868.jpg,"","",HP TeemTalk Terminal Emulator 7 E-License,HP TeemTalk Terminal Emulator 7 E-License,HP TeemTalk Terminal Emulator 7 E-License,HP TeemTalk Terminal Emulator 7 E-License,"",https://images.icecat.biz/img/gallery/1654062_8520117868.jpg|https://images.icecat.biz/img/gallery/1654062_0955225640.jpg,573x430|400x400,|,"","","","","","","",""
"","",2154985,"",HP,NK812AT,2154985,0884420721987|884420721987|0884962337769|884962337769|0884420721970|884420721970|0884420722007|884420722007|0884420721963|884420721963|0884420721956|884420721956|0884420722014|884420722014|0884420721994|884420721994|0885631332504|885631332504,Thin Clients,896,"","",t5145 Thin Client,20220711134145,ICECAT,1,35406,https://images.icecat.biz/img/gallery/2154985_9778956712.jpg,2594x4952,https://images.icecat.biz/img/gallery_lows/2154985_9778956712.jpg,https://images.icecat.biz/img/gallery_mediums/2154985_9778956712.jpg,https://images.icecat.biz/img/gallery_thumbs/2154985_9778956712.jpg,"","",HP t5145 Thin Client 0.5 GHz ThinConnect 1.54 kg,"VIA Eden 500MHz, 128MB Flash, 512MB DDR2 SODIMM, 10/100 Ethernet, ThinConnect","HP t5145 Thin Client, 0.5 GHz, Via Eden, 0.5 GB, 0.128 GB, 64 MB, Output: Internal amplified speaker, 1/8-inch mini, full 24-bit stereo, 192 kHz sample rate; Input:...","HP t5145 Thin Client. Processor frequency: 0.5 GHz, Processor family: Via Eden. Internal memory: 0.5 GB. Total storage capacity: 0.128 GB. Maximum graphics card memory: 64 MB. Audio system: Output: Internal amplified speaker, 1/8-inch mini, full 24-bit stereo, 192 kHz sample rate; Input:...","HP�s simplest and most affordable thin client. Experience desktop-like performance in task-oriented work environments needing basic ICA and RDP connectivity.\r\n \r\n<b>Features</b> \r\n \r\n- Easy to deploy: Take out of the box, attach to the network, and configure automatically using HP ThinState Tools (included). No need to buy or install new management software or new servers.\r\n \r\n- Simple to use: HP ThinConnect user interface provides easy access to remote applications. Run with settings stored locally or run in a �stateless� mode.\r\n \r\n- More secure: Store critical data and applications on your secure, centralized server. Lock down user settings and parameters on the client, or add smart card authentication. Protect USB peripherals with two USB ports in a secure compartment.\r\n \r\n- Latest VDI support: Integrated brokers for quick and easy access to VMware VDI and Citrix XenDesktop solutions.\r\n \r\n- Leading-edge design: Supports the HP Quick Release and Integrated Work Center Stand (sold separately) for flexible mounting. Front ports for easy connections. No moving parts mean higher reliability, lower ownership costs, and extended product life.\r\n \r\n- Warranty: Three-year limited hardware warranty and optional extended service contract available with HP Care Pack Services.",https://images.icecat.biz/img/gallery/2154985_9778956712.jpg|https://images.icecat.biz/img/gallery/2154985_0263151964.jpg|https://images.icecat.biz/img/gallery/2154985_2598746310.jpg|https://images.icecat.biz/img/norm/high/1963202-HP.jpg|https://images.icecat.biz/img/gallery/img_2154985_high_1470920677_9111_9027.jpg|https://images.icecat.biz/img/gallery/img_2154985_high_1470920678_4527_9027.jpg|https://images.icecat.biz/img/gallery/img_2154985_high_1470920678_8429_9027.jpg|https://images.icecat.biz/img/gallery/img_2154985_high_1470920679_2629_9027.jpg,2594x4952|2934x4784|1972x4834|400x400|347x600|472x600|513x600|313x600,|||||||,"","","","","","","",""
"","",2153502,"",HP,FY943ET,2153502,0884962171530|884962171530,Graphics Cards,170,"","",FY943ET,20230713005215,ICECAT,1,69992,https://images.icecat.biz/img/gallery/2153502_7254452892.jpg,4441x3900,https://images.icecat.biz/img/gallery_lows/2153502_7254452892.jpg,https://images.icecat.biz/img/gallery_mediums/2153502_7254452892.jpg,https://images.icecat.biz/img/gallery_thumbs/2153502_7254452892.jpg,"","",HP FY943ET graphics card,NVIDIA Quadro NVS 295 256MB,"HP FY943ET, Halvh�jd",HP FY943ET. Graphics card interface: Halvh�jd,"Delivering a reliable hardware and software platform, Quadro NVS 295 is designed to meet the needs of today�s most demanding business user. Featuring NVIDIA� nView� display management software and support for up to two 30�� displays at 2560x1600 resolutions, business professionals can maximize productivity through increased desktop real estate and advanced application management tools. Tested on industry-leading business applications, Quadro NVS 295 provides a stable business environment.",https://images.icecat.biz/img/gallery/2153502_7254452892.jpg|https://images.icecat.biz/img/norm/high/2153502-HP.jpg,4441x3900|400x400,|,"","","","","","","",""
"","",69403980,"",HP,C9361WA_2,69403980,"",Ink Cartridges,377,"","",[Set of 2] 93,20230330125527,ICECAT,"",4981,https://images.icecat.biz/img/gallery/5713595_1132626463.jpg,1813x1638,https://images.icecat.biz/img/gallery_lows/5713595_1132626463.jpg,https://images.icecat.biz/img/gallery_mediums/5713595_1132626463.jpg,https://images.icecat.biz/img/gallery_thumbs/5713595_1132626463.jpg,"","","HP [Set of 2] 93 ink cartridge 2 pc(s) Original Standard Yield Cyan, Magenta, Yellow","","HP [Set of 2] 93, Standard Yield, Dye-based ink, 5 ml, 220 pages, 2 pc(s), Multi pack","HP [Set of 2] 93. Cartridge capacity: Standard Yield, Colour ink type: Dye-based ink, Supply type: Multi pack, Colour ink page yield: 220 pages, Colour ink volume: 5 ml, Quantity per pack: 2 pc(s)","",https://images.icecat.biz/img/gallery/5713595_1132626463.jpg,1813x1638,"","","","","","","","",""
"","",40786659,"",HP,U9UP0E,40786659,"",Warranty & Support Extensions,788,"","",Safecom 3 year 9x5 Software Support for E33 USB Cable,20221220184927,ICECAT,1,13847,https://images.icecat.biz/img/gallery/86120550_2078831494.jpg,1501x1501,https://images.icecat.biz/img/gallery_lows/86120550_2078831494.jpg,https://images.icecat.biz/img/gallery_mediums/86120550_2078831494.jpg,https://images.icecat.biz/img/gallery_thumbs/86120550_2078831494.jpg,http://objects.icecat.biz/objects/mmo_40786659_1550110410_0966_6392.pdf|http://objects.icecat.biz/objects/mmo_40786659_1564330195_6039_19378.pdf|http://objects.icecat.biz/objects/mmo_40786659_1572766858_4669_31902.pdf|http://objects.icecat.biz/objects/mmo_40786659_1572766864_0347_28717.pdf|http://objects.icecat.biz/objects/mmo_40786659_1572766874_2199_28860.pdf,"",HP Safecom 3 year 9x5 Software Support for E33 USB Cable,"3 years, 9x5, Software Support, for Safecom E33 USB Cable","HP Safecom 3 year 9x5 Software Support for E33 USB Cable, 3 year(s), 9x5","HP Safecom 3 year 9x5 Software Support for E33 USB Cable. Number of years: 3 year(s), Service time (hours x days): 9x5","HP Software Support Service provides comprehensive software services for HP software and selected HP-supported third-party products. HP Software Support Service also provides access to HP technical resources for assistance in resolving software implementation or operations problems. HP releases updates to software and reference manuals as soon as they are made available. Updates for selected HP-supported third-party software products are included as they are made available from the original software manufacturer. HP Software Support Service also includes the license to use software updates for each system, socket, processor, processor core, or end user software license, as allowed by the original HP or original manufacturer software license terms. In addition, HP Software Support Service provides electronic access to related product and support information, enabling any member of your IT staff to locate this commercially available essential information. For third-party products, access is subject to availability of information from the original manufacturer.",https://images.icecat.biz/img/gallery/86120550_2078831494.jpg,1501x1501,"","","","","","","","",""
"","",40786618,"",HP,U9VP6E,40786618,"",Warranty & Support Extensions,788,"","",Safecom 5 year 9x5 SoftwareSupport for Enterprise Server,20221220184927,ICECAT,1,16363,https://images.icecat.biz/img/gallery/86120550_2078831494.jpg,1501x1501,https://images.icecat.biz/img/gallery_lows/86120550_2078831494.jpg,https://images.icecat.biz/img/gallery_mediums/86120550_2078831494.jpg,https://images.icecat.biz/img/gallery_thumbs/86120550_2078831494.jpg,http://objects.icecat.biz/objects/mmo_40786618_1550110717_5923_28682.pdf|http://objects.icecat.biz/objects/mmo_40786618_1564330203_8904_6993.pdf|http://objects.icecat.biz/objects/mmo_40786618_1572767151_6156_1285.pdf|http://objects.icecat.biz/objects/mmo_40786618_1572767155_4073_1309.pdf|http://objects.icecat.biz/objects/mmo_40786618_1572767155_6249_1552.pdf,"",HP Safecom 5 year 9x5 SoftwareSupport for Enterprise Server,"5 years, 9x5, Software Support, for Safecom Enterprise Server","HP Safecom 5 year 9x5 SoftwareSupport for Enterprise Server, 5 year(s), 9x5","HP Safecom 5 year 9x5 SoftwareSupport for Enterprise Server. Number of years: 5 year(s), Service time (hours x days): 9x5","HP Software Support Service provides comprehensive software services for HP software and selected HP-supported third-party products. HP Software Support Service also provides access to HP technical resources for assistance in resolving software implementation or operations problems. HP releases updates to software and reference manuals as soon as they are made available. Updates for selected HP-supported third-party software products are included as they are made available from the original software manufacturer. HP Software Support Service also includes the license to use software updates for each system, socket, processor, processor core, or end user software license, as allowed by the original HP or original manufacturer software license terms. In addition, HP Software Support Service provides electronic access to related product and support information, enabling any member of your IT staff to locate this commercially available essential information. For third-party products, access is subject to availability of information from the original manufacturer.",https://images.icecat.biz/img/gallery/86120550_2078831494.jpg,1501x1501,"","","","","","","","",""
"","",70329809,"",HP,UB6Z1PE,70329809,"",Warranty & Support Extensions,788,"","",2 year Post Warranty NBD Onsite HW Support w/ DMR Production Care forHP JF 580 3D Printer,20230421114341,SUPPLIER,1,1036,http://images.icecat.biz/img/brand/high/1_df42767c3ddf465b89464fb59064c6ce.jpg,625x642,http://images.icecat.biz/img/brand/low/1_d0a20d639fc74672915c2b5e13682a06.jpg,http://images.icecat.biz/img/brand/medium/1_0aec37306b8647b2a6043657e5749396.jpg,http://images.icecat.biz/img/brand/thumb/1_cf8603f6de7b4c4d8ac4f5f0ef439a05.jpg,http://objects.icecat.biz/objects/mmo_70329809_1592977942_5223_21186.pdf,"",HP 2 year Post Warranty NBD Onsite HW Support w/ DMR Production Care forHP JF 580 3D Printer,2 year Post Warranty NBD Onsite HW Support w/ DMR Production Care forHP JF 580 3D Printer,HP 2 year Post Warranty NBD Onsite HW Support w/ DMR Production Care forHP JF 580 3D Printer,HP 2 year Post Warranty NBD Onsite HW Support w/ DMR Production Care forHP JF 580 3D Printer,"Experience peace of mind with HP Extended Care, which speeds up issue response times and enables priority access when critical support is needed. Communicate with HP through a variety of channels and help keep costs under control with included HP Preventive Maintenance. Make system uptime your priority with next business day response times.",http://images.icecat.biz/img/brand/high/1_df42767c3ddf465b89464fb59064c6ce.jpg,625x642,"","","","","","","","","Troubleshoot issues quickly with remote support||Quickly resolve issues with remote diagnosis and support. HP�s electronic support solution provides efficient troubleshooting and fast problem resolution.\n\nHelp keep your 3D printer up and running||Increase uptime and availability with easy access to experts, fast remote troubleshooting, onsite support, next business day response times, and preventive maintenance.\n\nSecure your sensitive data with defective media retention||Gain additional security and control. With defective media retention (DMR), HP will diagnose issues involving defective storage disks, provide a replacement disk, and let you keep the old one."
"","",4804463,"",HP,GE262ET,4804463,0885631511893|885631511893,Internal Hard Drives,219,"","",GE262ET,20210217200658,ICECAT,1,36061,https://images.icecat.biz/img/gallery/4804463_1514812422.jpg,1792x1576,https://images.icecat.biz/img/gallery_lows/4804463_1514812422.jpg,https://images.icecat.biz/img/gallery_mediums/4804463_1514812422.jpg,https://images.icecat.biz/img/gallery_thumbs/4804463_1514812422.jpg,"","",HP GE262ET internal hard drive 1.02 TB Serial ATA II,"GE262ET, 1 TB SATA 3.0Gb/s NCQ 7200 rpm Hard Drive","HP GE262ET, 1.02 TB, 7200 RPM","HP GE262ET. HDD capacity: 1.02 TB, HDD speed: 7200 RPM",SATA 7200 rpm drives are our standard high bandwidth hard drive storage options; most workstation models are also available with high performance 10K rpm rotation speeds. Storage capabilities range up to a massive 1000 GB (1 TB).\n\nSATA Hard Drives use the SATA interface running at up to 3 Gb (Gigabit) per second. Actual sustained transfer rates are lower due to command protocol and SATA bus management overhead.,https://images.icecat.biz/img/gallery/4804463_1514812422.jpg|https://images.icecat.biz/img/norm/high/4804463-HP.jpg,1792x1576|400x400,|,"","","","","","","",""
"","",5811877,"",HP,WT428AA,5811877,0885631099810|885631099810,Graphics Cards,170,"","",NVIDIA Tesla C2050 Compute Processor,20210218110038,SUPPLIER,1,78564,https://images.icecat.biz/img/gallery/5811877_1628467627.jpg,3142x2711,https://images.icecat.biz/img/gallery_lows/5811877_1628467627.jpg,https://images.icecat.biz/img/gallery_mediums/5811877_1628467627.jpg,https://images.icecat.biz/img/gallery_thumbs/5811877_1628467627.jpg,"","",HP NVIDIA Tesla C2050 Compute Processor,"","HP NVIDIA Tesla C2050 Compute Processor, Du�lny slot",HP NVIDIA Tesla C2050 Compute Processor. Graphics card interface: Du�lny slot,"",https://images.icecat.biz/img/gallery/5811877_1628467627.jpg,3142x2711,"","","","","","","","",""
"","",7068431,"",HP,XX046AA,7068431,0886111010684|886111010684,Laptop Cases,1285,"","",XX046AA,20210315203259,ICECAT,1,161388,https://images.icecat.biz/img/gallery/img_7068431_high_1496978223_2621_11309.jpg,4660x4152,https://images.icecat.biz/img/gallery_lows/img_7068431_low_1496978273_6629_11309.jpg,https://images.icecat.biz/img/gallery_mediums/img_7068431_medium_1496978245_2716_11309.jpg,https://images.icecat.biz/img/gallery_thumbs/img_7068431_thumb_1496978306_7178_11309.jpg,"","","HP XX046AA laptop case 40.6 cm (16"") Briefcase Black, Grey","Travel Essentials Kit - 40.6 cm (16"")","HP XX046AA, Briefcase, 40.6 cm (16""), Shoulder strap, 660 g","HP XX046AA. Case type: Briefcase, Maximum screen size: 40.6 cm (16""), Shoulder strap. Weight: 660 g. Mouse included","- The HP 40,6 cm (16"") carrying case bundle is the perfect complement to your notebook. It includes a 3- button optical mouse and a padded carrying case to protect your notebook while you are out and about.\n- The HP Travel Essentials Kit - 40,6 cm (16"") is the perfect travel companion. Keep your notebook safe in the padded inner compartment of the bag, and just plug and enjoy the freedom of working with the USB Optical Mouse everywhere you go.\n- The HP Travel Essentials Bag � 40,6 cm (16�) is perfect to help you stay organized. It allows easy access to your phone, keys and tickets, while keeping your notebook safe in the padded inner compartment.\n- No slips or mistakes! The HP USB Optical Mobile Mouse with its 1000 cpi ensures smooth tracking, even without a mouse pad. So you will get all the accuracy you need, whether you are at your desk or on the road.",https://images.icecat.biz/img/gallery/img_7068431_high_1496978223_2621_11309.jpg|https://images.icecat.biz/img/gallery/img_7068431_high_1496978341_2591_11309.jpg|https://images.icecat.biz/img/norm/high/7068431-HP.jpg|https://images.icecat.biz/img/gallery/7068431_2522.jpg,4660x4152|4329x4101|400x400|480x426,|||,"","","","","","","",""
"","",9438939,"",HP,QK645AA,9438939,4053162298484|0886111135110|886111135110,Laptop Spare Parts,2509,"","",SX09 Notebook Battery,20220803093011,ICECAT,1,320976,https://images.icecat.biz/img/gallery/img_9438939_high_1486641422_0829_12815.jpg,3300x3300,https://images.icecat.biz/img/gallery_lows/img_9438939_low_1486641428_8752_12815.jpg,https://images.icecat.biz/img/gallery_mediums/img_9438939_medium_1486641425_0848_12815.jpg,https://images.icecat.biz/img/gallery_thumbs/img_9438939_thumb_1486641433_9004_12815.jpg,"","",HP SX09 Notebook Battery,"SX09 Notebook Battery, Li-Ion, 8850 mAh, 100 Wh, 11.3 V DC","HP SX09 Notebook Battery, Battery",HP SX09 Notebook Battery. Type: Battery,"The HP Primary Battery is the standard battery replacement for the original battery included with each HP Business Notebook and HP Mini. It's an economical choice for users who primarily use a notebook while plugged in or docked and charge the notebook overnight when they take it home, or for users who rely on a notebook as a backup to a desktop PC.",https://images.icecat.biz/img/gallery/img_9438939_high_1486641422_0829_12815.jpg,3300x3300,"","","","","","","","",""
"","",50450305,"",HP,SV859A,50450305,"",Laser Printers,235,"","",Samsung ML-3310DK Laser Printer,20230326083941,SUPPLIER,1,18635,https://images.icecat.biz/img/gallery/50450305_8873925141.jpg,2374x2057,https://images.icecat.biz/img/gallery_lows/50450305_8873925141.jpg,https://images.icecat.biz/img/gallery_mediums/50450305_8873925141.jpg,https://images.icecat.biz/img/gallery_thumbs/50450305_8873925141.jpg,"","",HP Samsung ML-3310DK Laser Printer,Samsung ML-3310DK Laser Printer,HP Samsung ML-3310DK Laser Printer,HP Samsung ML-3310DK Laser Printer,"",https://images.icecat.biz/img/gallery/50450305_8873925141.jpg,2374x2057,"","","","","",http://link.brightcove.com/services/player/bcpidr1rjbW9fe?bckey=,"","",""
"","",50450319,"",HP,SV887A,50450319,"",Laser Printers,235,"","",Samsung ML-4551NDG Laser Printer,20230326083910,SUPPLIER,1,22303,https://images.icecat.biz/img/gallery/50450319_2507431878.jpg,1361x1502,https://images.icecat.biz/img/gallery_lows/50450319_2507431878.jpg,https://images.icecat.biz/img/gallery_mediums/50450319_2507431878.jpg,https://images.icecat.biz/img/gallery_thumbs/50450319_2507431878.jpg,"","",HP Samsung ML-4551NDG Laser Printer,Samsung ML-4551NDG Laser Printer,HP Samsung ML-4551NDG Laser Printer,HP Samsung ML-4551NDG Laser Printer,"",https://images.icecat.biz/img/gallery/50450319_2507431878.jpg,1361x1502,"","","","","",http://link.brightcove.com/services/player/bcpidr1rjbW9fe?bckey=,"","",""
"","",35716465,"",HP,0901289,35716465,"",Industrial Printing Presses,1547,"","",ColorSpan Legacy UV 98uvx DisplayMaker,20230330125527,SUPPLIER,1,1688,http://images.icecat.biz/img/brand/high/1_df42767c3ddf465b89464fb59064c6ce.jpg,625x642,http://images.icecat.biz/img/brand/low/1_d0a20d639fc74672915c2b5e13682a06.jpg,http://images.icecat.biz/img/brand/medium/1_0aec37306b8647b2a6043657e5749396.jpg,http://images.icecat.biz/img/brand/thumb/1_cf8603f6de7b4c4d8ac4f5f0ef439a05.jpg,"","",HP ColorSpan Legacy UV 98uvx DisplayMaker,"",HP ColorSpan Legacy UV 98uvx DisplayMaker,HP ColorSpan Legacy UV 98uvx DisplayMaker,"",http://images.icecat.biz/img/brand/high/1_df42767c3ddf465b89464fb59064c6ce.jpg,625x642,"","","","","",http://link.brightcove.com/services/player/bcpidr1rjbW9fe?bckey=,"","",""
"","",50763646,"",HP,LJ917PA,50763646,0886111425518|886111425518,PCs/Workstations,153,"","",Z400 Workstation,20200116035006,SUPPLIER,"",18589,https://images.icecat.biz/img/gallery/50763646_0893896438.jpg,1217x2408,https://images.icecat.biz/img/gallery_lows/50763646_0893896438.jpg,https://images.icecat.biz/img/gallery_mediums/50763646_0893896438.jpg,https://images.icecat.biz/img/gallery_thumbs/50763646_0893896438.jpg,"","",HP Z400 Workstation,"",HP Z400 Workstation,HP Z400 Workstation,"",https://images.icecat.biz/img/gallery/50763646_0893896438.jpg,1217x2408,"","","","","","","","",""
