Advertisement Content,Company Name,Role,Location,Role,Advertisement Content,Role,Role,Advertisement Content,Advertisement Content,Role,Advertisement Content,Role,Role,Role,Role,Role,Role,Role
"Offerta di lavoro per Customer Service Operator oktopous, Padova | Glassdoor",OKTOPOUS,Customer Service Operator,Padova,Siamo OKTOPOUS srl società di ricerca e selezione del personale e stiamo operando su mandato del nostro cliente Bomi Group.,"Bomi Group è una multinazionale facente parte del Gruppo UPS ed è leader mondiale nel settore della logistica dedicata al settore healthcare. La società opera a livello internazionale offrendo un servizio completo di contract logistics, dal magazzinaggio, allo stoccaggio al trasporto verso ospedali, farmacie e case dei pazienti, e si caratterizza per l’approccio tailor made nei confronti dei propri clienti garantendo elevati standard di qualità del servizio.   Per G. Carrai & C. S.r.l. facente parte del gruppo Bomi, stiamo cercando una figura di Customer Service Operator per il team localizzato a Padova (PD).   Il Customer Service Operator provvede all’assistenza clienti per quanto riguarda i flussi delle spedizioni all’interno dei magazzini di logistica in Italia.      Posizione:    La persona a diretto riporto del referente operativo, sarà responsabile delle seguenti attività:",Prenotazioni telefoniche;,,,Gestione giacenze resi;,,Assistenza clienti;,Attività di back office;,cassiere di vendita al servizio clienti,socio del servizio clienti,gestore del servizio clienti,assistente al servizio clienti,specialista servizio clienti,associato al servizio clienti registrato
"Offerta di lavoro per OPERAI ADDETTI AL CONFEZIONAMENTO Umana SPA, Alessandria | Glassdoor",,OPERAI ADDETTI AL CONFEZIONAMENTO,Alessandria,"Umana S.p.A., per importante azienda operante nel settore alimentare con stabilimento produttivo nei pressi di Alessandria, ricerca:",OPERAI ADDETTI AL CONFEZIONAMENTO        da inserire nel reparto produttivo con mansioni di:,confezionamento prodotto;,controllo della piena funzionalità della linea;,carico scarico linee produzione.        I candidati ideali possiedono:,esperienza in contesti produttivi;,capacità di lavorare in autonomia;,,,operatore di produzione,tecnico di produzione,supervisore di produzione,associato di produzione,addetti alla produzione,specialista della produzione
"Offerta di lavoro per OPERAI PER CONFEZIONAMENTO SU 3 TURNI Umana SPA, Tombolo | Glassdoor",,OPERAI PER CONFEZIONAMENTO SU 3 TURNI,Tombolo,"Umana spa filiale di Camposampiero (PD), per importante e strutturata azienda operante nel settore ALIMENTARE sita a Galliera Veneta e Tombolo (PD) Ricerca:",OPERAI/OPERAIE ADD. ALLE MACCHINE DI CONFEZIONAMENTO SU 3 TURNI    Si valutano figure anche con poca esperienza purchè volenterose di apprendere la mansione.        La risorsa verrà adibita a mansioni quali:,carico scarico materie prime,confezionamento prodotti,etichettatura   imballaggio   controllo qualità visivo         Completano il profilo:,capacità di lavorare in autonomia,affidabilità e precisione,,,operatore di carrello elevatore magazzino alimentare,imballaggio per la raccolta in magazzino,,,,
"Offerta di lavoro per Segretario/a didattico/a Ampra Solutions Pvt Ltd, Genova | Glassdoor",AMPRA CONSULTING,Segretario/a didattico/a,Genova,"Per istituto privato in zona, stiamo ricercando una figura da segretaria/o da inserire nel nostro organico.",La risorsa selezionata si occuperà di:,"Smistamento delle chiamate in entrata ed uscita,",Accoglienza dei studenti.,Ricerchiamo una persona:,Ottime capacità organizzative,Ottima propensione al contatto con il pubblico,tempo determinato,finalizzato all’indeterminato,,,,,,
"Offerta di lavoro per Addetto/a front office studio odontoiatrico Al&Co, Roma | Glassdoor",,Addetto/a front office studio odontoiatrico,Roma,"Studio odontoiatrico per potenziamento organico, è alla ricerca di un/una addetto/a front office da inserire all'interno del proprio organico.",La risorsa avrà le seguenti mansioni:,Accoglienza pazienti,Agenda appuntamenti medici,Gestione attività di cassa e fatturazione   Gestione delle telefonate   Trattamento dei dati clinici riservati.    Requisiti:,Precisione e affidabilità,Resistenza allo stress,Scontistiche sui nostri servizi,Contratto a tempo determinato,addetto al front office,agente di front office,agenti di front desk,supervisore del front office,,
"Offerta di lavoro per OPERAI DI LINEA INDUSTRIA ALIMENTARE Umana SPA, Assisi | Glassdoor",,OPERAI DI LINEA INDUSTRIA ALIMENTARE,Assisi,"Umana Spa, filiale di Perugia, cerca per importante industria alimentare 4 operai di linea.",L'azienda cliente e' una storica e consolidata realtà del territorio da oltre 70 anni e vanta di un fatturato di ca 80 milioni di euro.   Le risorse ricercate dovranno:,avviare e regolare le macchine per la produzione,caricare manualmente le materie prime per la produzione,controllare la linea   controllare i prodotti finiti   effettuare report tramite palmare sul lavoro giornaliero   effettuare piccoli interventi di manutenzione delle macchine    Si richiedono:,"esperienza in contesti di produzione, privilegiando il settore alimentare",disponibilità a lavoro a ciclo continuo su tre turni,,,assistente al coordinatore di produzione,assistente del manger delle produzione,supervisore della produzione,direttore di produzione associato,supervisore di produzione,specialista della produzione
"Offerta di lavoro per Receptionist Biblioteca , Bergamo | Glassdoor",Pollio centrum,Receptionist Biblioteca,Bergamo,"Per biblioteca universitaria, siamo alla ricerca di una figura da inserire in organico per aumento dell'affluenza.",Responsabilità:,Accogliere i visitatori con cortesia e fornire assistenza nella ricerca di risorse.,Gestire le operazioni di check-in e check-out dei materiali bibliotecari.,Fornire informazioni sulle risorse e sui servizi della biblioteca ai visitatori.   Assicurare che la biblioteca sia mantenuta in ordine e in un ambiente accogliente.   Rispondere alle chiamate telefoniche e alle richieste dei visitatori.   Collaborare con il personale della biblioteca per garantire un'efficace gestione delle risorse.    Requisiti:,Eccellenti capacità comunicative e orientamento al servizio.,Passione per la lettura e la promozione della cultura.,contratto determinato,full time,administrative clerical,admin assistant,clerical administrative,front desk agent,school secretary,personal assistant
"Offerta di lavoro per Assistente alle Vendite , Roma | Glassdoor",Nettowork Srl,Assistente alle Vendite,Roma,"NETtoWORK, azienda italiana nata nel 2016, operante nel settore dei servizi, si occupa di soddisfare le necessità dei clienti offrendo servizi personalizzati.","Il nostro team si avvale anche di consulenti esperti nel settore, per supportare il cliente durante il periodo di collaborazione.      Posizione:    Ricerchiamo una risorsa da inserire come  Assistente alle vendite in stage         La risorsa imparerà a:",riconoscere il prodotto e le sue caratteristiche;,,,,,,,direttore commerciale,operazioni commerciali,addetto operazioni commerciali,responsabile dell'area commerciale,responsabile dello sviluppo del business dell'account principale,direttore commerciale di filiale
"Offerta di lavoro per Addetto/a ufficio prenotazioni visite mediche , Roma | Glassdoor",OMM TECHNOLOGIE,Addetto/a ufficio prenotazioni visite mediche,Roma,Si ricerca figura di addetto/a alle prenotazioni mediche.,La figura inserita si occuperà di :,gestione dei centralini telefonici,dell'utilizzo del computer e dei principali gestionali per la presa in carico e per la gestione degli appuntamenti,si occuperà del caricamento dei referti medici sui diversi programmi sanitari e di mansioni generali di segreteria.    Il/la candidato/a ideale presenta le seguenti caratteristiche:,doti comunicative,capacità di utilizzo del pc,bonus,tredicesima,ufficiale medico,consulente medico,affare medico,collegamento medico,chirurgo ortopedico,medico ospedaliero di medicina interna
"Offerta di lavoro per Impiegato/a Operativo/a-Moncalieri BRT S.p.A, Moncalieri | Glassdoor",,Impiegato/a Operativo/a-Moncalieri,Moncalieri,"Una realtà storica italiana, spinta all’innovazione per offrire un servizio di corriere espresso e logistica sempre allineato con le necessità del mercato. Con oltre 200 filiali distribuite su tutto il territorio nazionale ed una profonda conoscenza del settore, BRT si contraddistingue per la propria capillarità e per la flessibilità delle soluzioni proposte. Dal 2017 BRT è entrata a far parte di DPDgroup, leader europeo nel trasporto espresso e, grazie alle sinergie del network, offre un servizio sempre più rapido ed efficace e flessibile in tutta Europa e nel mondo.","Posizione:    Nell’ambito di un potenziamento della filiale di Moncalieri, siamo alla ricerca di  un/una    Impiegato/a Operativo   .   Le attività previste includono la supervisione relativa alla gestione delle merci in magazzino, accoglienza al fronting, bollettazione, customer service.    Luogo di lavoro  : Moncalieri    Orario di lavoro  : Full Time, dal lunedì al venerdì.      Requisiti:     Conoscenze e attitudini richieste:",diploma;,,,conoscenza del territorio;,,preferibile precedente esperienza in ruoli analoghi;,buona conoscenza dei principali strumenti informatici;,assistente amministrativo senior,assistente amministrativo iii,assistente amministrativo ii,assistente amministrativo amministrativo,assistente amministrativo esecutivo,assistente amministrativo iv
