Advertisement title,Price,Number of rooms,Surface,Bathrooms,Advertisement title,Location,Advertisement title,Other,Other,Other,Price,Price,Energy Class,Energy Class,Year of construction,Heating system,Heating system,Heating system,Broker,Location,Broker,Other,Broker,Broker,Broker,Broker,Broker,Broker,Broker
"Quadrilocale in vendita a Cusago - Milano. € 298.000, 128 Mq - Tecnocasa.it - 60828327",€ 298.000,4 locali,128 Mq,2 bagni,Quadrilocale in vendita,"Cusago, Via Bergamo",Quadrilocale in vendita,22,60828327,3.0,€ 1.491 / mese,€ 2.500,F,"135,4 kW h/m² anno",1994,Autonomo,A radiatori,Metano,Studio Cusago Snc,"Via Cisliano, 6 20090 Cusago (MI)",mihk8@tecnocasa.it,282307571,mihk8@tecnocasa.it,,,,,,
"Trilocale in vendita a Legnano - Milano. € 107.000, 80 Mq - Tecnocasa.it - 60713566",€ 107.000,3 locali,80 Mq,1 bagno,Trilocale in vendita,"Legnano, Via Padre Reginaldo Giuliani",Trilocale in vendita,16,60713566,2.0,€ 536 / mese,€ 1.200,F,,1967,Autonomo,A radiatori,Metano,Studio Legnano D.I.,"Via Barbara Melzi, 158/A 20025 Legnano (MI)",mihmg@tecnocasa.it,331002476,mihmg@tecnocasa.it,Ermenegildo Pizzo,Affiliato,Nadia Paletta,Responsabile,Jessica Crespi,Collaboratrice
"Trilocale in vendita a Mediglia, Mombretto - Milano. € 210.000, 80 Mq - Tecnocasa.it - 60791467",€ 210.000,3 locali,80 Mq,1 bagno,Trilocale in vendita,"Mediglia, Via Melozzo da Forlì - Mombretto",Trilocale in vendita,14,60791467,,€ 1.051 / mese,€ 1.375,E,,2000,Autonomo,A radiatori,Metano,Intermed Sas,"Viale Risorgimento, 31 20090 Pantigliate (MI)",mihc4@tecnocasa.it,282306561,mihc4@tecnocasa.it,Jari Danelli,Responsabile,Corrado Pepe,Affiliato,,
"Loft in vendita a Milano, Maciachini - Milano. € 310.000, 74 Mq - Tecnocasa.it - 60819442",€ 310.000,3 locali,74 Mq,1 bagno,Loft in vendita,"Milano, Via Livigno - Maciachini",Loft in vendita,13,60819442,2.0,€ 1.551 / mese,€ 1.800,F,,1930,Autonomo,A radiatori,Altro,Studio Maciachini Sas,"P.zza Maciachini, 20 20159 Milano (MI)",micg4@tecnocasa.it,282304192,micg4@tecnocasa.it,Antonella Cennamo,Affiliata,Antonella D'Urso,Coordinatrice,Filippo Cusmà Piccione,Collaboratore
"Bilocale in vendita a Milano, Maciachini - Milano. € 209.000, 51 Mq - Tecnocasa.it - 60821032",€ 209.000,2 locali,51 Mq,1 bagno,Bilocale in vendita,"Milano, Via carlo imbonati - Maciachini",Bilocale in vendita,18,60821032,1.0,€ 1.046 / mese,€ 1.000,F,"135,59 kW h/m² anno",1920,Autonomo,A radiatori,Metano,Studio Maciachini Sas,"P.zza Maciachini, 20 20159 Milano (MI)",micg4@tecnocasa.it,282304192,micg4@tecnocasa.it,Antonella Cennamo,Affiliata,Antonella D'Urso,Coordinatrice,Filippo Cusmà Piccione,Collaboratore
"Quadrilocale in vendita a Pantigliate - Milano. € 250.000, 105 Mq - Tecnocasa.it - 60813587",€ 250.000,4 locali,105 Mq,2 bagni,Quadrilocale in vendita,"Pantigliate, Via Armellini",Quadrilocale in vendita,17,60813587,3.0,€ 1.251 / mese,€ 2.500,D,,1978,Centralizzato,A radiatori,Metano,Intermed Sas,"Viale Risorgimento, 31 20090 Pantigliate (MI)",mihc4@tecnocasa.it,282306561,mihc4@tecnocasa.it,Jari Danelli,Responsabile,Corrado Pepe,Affiliato,,
"Bilocale in vendita a Peschiera Borromeo, Bettola - Milano. € 170.000, 60 Mq - Tecnocasa.it - 60825356",€ 170.000,2 locali,60 Mq,1 bagno,Bilocale in vendita,"Peschiera Borromeo, Via Salvatore Quasimodo - Bettola",Bilocale in vendita,34,60825356,1.0,€ 851 / mese,€ 1.200,D,"98,88 kW h/m² anno",1999,Autonomo,A radiatori,Metano,Studio Peschiera Borromeo Snc,"P.zza Riccardo Lombardi, 1 20068 Peschiera Borromeo (MI)",mihc7@tecnocasa.it,282306703,mihc7@tecnocasa.it,Fausto C. Arfini,Affiliato,Paola Mosca,Coordinatrice,Michel Freri,Responsabile
"Bilocale in vendita a Peschiera Borromeo, Bellaria - Milano. € 205.000, 81 Mq - Tecnocasa.it - 60826832",€ 205.000,2 locali,81 Mq,1 bagno,Bilocale in vendita,"Peschiera Borromeo, Via Oriana Fallaci - Bellaria",Bilocale in vendita,37,60826832,1.0,€ 1.026 / mese,€ 2.000,,35 kW h/m² anno,2013,Centralizzato,A pavimento,Metano,Studio Peschiera Borromeo Snc,"P.zza Riccardo Lombardi, 1 20068 Peschiera Borromeo (MI)",mihc7@tecnocasa.it,282306703,mihc7@tecnocasa.it,Fausto C. Arfini,Affiliato,Paola Mosca,Coordinatrice,Michel Freri,Responsabile
"Trilocale in vendita a Vignate - Milano. € 210.000, 95 Mq - Tecnocasa.it - 60812224",€ 210.000,3 locali,95 Mq,1 bagno,Trilocale in vendita,"Vignate, Via Strettone",Trilocale in vendita,21,60812224,2.0,€ 1.051 / mese,€ 900,F,"132,60 kW h/m² anno",1983,Autonomo,A radiatori,Metano,Intermed Sas,"Via A. Volta, 18 20060 Vignate (MI)",mihbc@tecnocasa.it,282306539,mihbc@tecnocasa.it,Corrado Pepe,Affiliato,Alessandro Pepe,Collaboratore,,
"Villa a schiera in vendita a Cassina De' Pecchi - Milano. € 346.000, 168 Mq - Tecnocasa.it - 60829612",€ 346.000,4 locali,168 Mq,2 bagni,Villa a schiera in vendita,Cassina De' Pecchi,Villa a schiera in vendita,16,60829612,,€ 1.732 / mese,€ 1.400,G,"174,89 kW h/m² anno",1985,Autonomo,A radiatori,Metano,Tecnomed Sas,"Via Papa Giovanni XXIII, 7 20060 Cassina De' Pecchi (MI)",mihb4@tecnocasa.it,282306497,mihb4@tecnocasa.it,Dario Chiappa,Affiliato,Christian Varriale,Collaboratore,Fallou Diop,Collaboratore
