"60828327","https://www.tecnocasa.it/vendita/appartamenti/milano/cusago/60828327.html","Quadrilocale in vendita a Cusago - Milano. € 298.000, 128 Mq - Tecnocasa.it - 60828327","€ 298.000","4 locali","128 Mq","2 bagni","Quadrilocale in vendita","Cusago, Via Bergamo","Quadrilocale in vendita","+22","60828327","3","€ 1.491 / mese  ","€ 2.500","360 m","Muggiano","2,2 Km","Europa Shopping Center fronte Pittarosso","Europa Shopping Center fronte Tigros","1,5 Km","Settimo Milanese Keplero | EnelX","Farmacia Cusago","760 m","Parafarmacia Dottoressa Grassi","F","135,4 kW h/m² anno","1994","Autonomo","A radiatori","Metano","Studio Cusago Snc","Via Cisliano, 6 20090 Cusago (MI)","mihk8@tecnocasa.it","0282307571","mihk8@tecnocasa.it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60713566","https://www.tecnocasa.it/vendita/appartamenti/milano/legnano/60713566.html","Trilocale in vendita a Legnano - Milano. € 107.000, 80 Mq - Tecnocasa.it - 60713566","€ 107.000","3 locali","80 Mq","1 bagno","Trilocale in vendita","Legnano, Via Padre Reginaldo Giuliani","Trilocale in vendita","+16","60713566","2","€ 536 / mese  ","€ 1.200","470 m","Legnano - Via XXIX Maggio ang. Stoppani S. Martino","660 m","","","","","","","","F","","1967","Autonomo","A radiatori","Metano","Studio Legnano D.I.","Via Barbara Melzi, 158/A 20025 Legnano (MI)","mihmg@tecnocasa.it","0331002476","mihmg@tecnocasa.it","","","","","125.60 kW h/m² anno","2.31 kW h/m² anno","Ermenegildo Pizzo","Affiliato","Nadia Paletta","Responsabile","Assente","Dispensa senza glutine","400 m","Il Piacere del Pane","980 m","1,0 Km","Belli e Monelli","Panificio Banfi","1,1 Km","Jessica Crespi","Collaboratrice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60791467","https://www.tecnocasa.it/vendita/appartamenti/milano/mediglia/60791467.html","Trilocale in vendita a Mediglia, Mombretto - Milano. € 210.000, 80 Mq - Tecnocasa.it - 60791467","€ 210.000","3 locali","80 Mq","1 bagno","Trilocale in vendita","Mediglia, Via Melozzo da Forlì - Mombretto","Trilocale in vendita","+14","60791467","","€ 1.051 / mese  ","€ 1.375","","","","","","","","","","","E","","2000","Autonomo","A radiatori","Metano","Intermed Sas","Viale Risorgimento, 31 20090 Pantigliate (MI)","mihc4@tecnocasa.it","0282306561","mihc4@tecnocasa.it","1,4 Km","2,0 Km","","","132.69 kW h/m² anno","","Jari Danelli","Responsabile","Corrado Pepe","Affiliato","","","","","","2,9 Km","","","","","","","","","","","","","","","","","€ 179.000","(-4%)","Rialzato di 3 con ascensore","3","","","","","","","","","","","","","","","Pantigliate, Viale Risorgimento","90 Mq","€ 198.000","Trilocale in vendita","100 Mq","2,1 Km","Scuole Elementari"
"60819442","https://www.tecnocasa.it/vendita/appartamenti/milano/milano/60819442.html","Loft in vendita a Milano, Maciachini - Milano. € 310.000, 74 Mq - Tecnocasa.it - 60819442","€ 310.000","3 locali","74 Mq","1 bagno","Loft in vendita","Milano, Via Livigno - Maciachini","Loft in vendita","+13","60819442","2","€ 1.551 / mese  ","€ 1.800","","","","A2A PoliMi Bovisa","A2A Via Torquato Taramelli","1,8 Km","Hotel Viu Milano","","","","F","","1930","Autonomo","A radiatori","Altro","Studio Maciachini Sas","P.zza Maciachini, 20 20159 Milano (MI)","micg4@tecnocasa.it","0282304192","micg4@tecnocasa.it","","","Conad City","300 m","197.23 kW h/m² anno","0.00 kW h/m² anno","Antonella Cennamo","Affiliata","Antonella D'Urso","Coordinatrice","Assente","","","","","","","","","Filippo Cusmà Piccione","Collaboratore","Dantò","200 m","la grotta","230 m","S.P.I.B.","","","","","","","€ 387.000","(-8%)","","","In via Livigno, a pochi passi dal Parco e da Piazza Dergano, proponiamo loft completamente ristrutturato.","L'immobile ha una distribuzione moderna e funzionale degli spazi. Vanta di doppia esposizione che assicura ariosità all'immobile. Il bagno è finestrato con box doccia e la zona notte è soppalcata.","E' prevista l'istallazione di una porta di Rimadesio, piastrelle in bagno mentre per la pavimentazione degli altri ambienti è stato scelto un parquet prefinito in rovere naturale.","La ristrutturazione si contraddistingue per la scelta di finiture di pregio che conferiscono alla soluzione uno stile moderno ed elegante.","<strong> L'appartamento è in fase di ristrutturazione (le immagini sono dei render). </strong>","90 m","Marie Curie","440 m","1,9 Km","410 m","820 m","Mamma Farina","320 m","360 m","Milano, Via Legnone - Maciachini","70 Mq","€ 275.000","Bilocale in vendita","59 Mq","",""
"60821032","https://www.tecnocasa.it/vendita/appartamenti/milano/milano/60821032.html","Bilocale in vendita a Milano, Maciachini - Milano. € 209.000, 51 Mq - Tecnocasa.it - 60821032","€ 209.000","2 locali","51 Mq","1 bagno","Bilocale in vendita","Milano, Via carlo imbonati - Maciachini","Bilocale in vendita","+18","60821032","1","€ 1.046 / mese  ","€ 1.000","","","","","","","","","","","F","135,59 kW h/m² anno","1920","Autonomo","A radiatori","Metano","Studio Maciachini Sas","P.zza Maciachini, 20 20159 Milano (MI)","micg4@tecnocasa.it","0282304192","micg4@tecnocasa.it","","","","","","","Antonella Cennamo","Affiliata","Antonella D'Urso","Coordinatrice","Assente","","","","","","Steven's","Fiordifarina","660 m","Filippo Cusmà Piccione","Collaboratore","","","","","","","","","","","","","","","","In stabile d'epoca a 170 metri dalla fermata della metropolitana, proponiamo due locali con basse spese condominiali.","L'immobile si colloca in uno stabile di ringhiera in ottime condizioni e gode di doppia esposizione.","L'appartamento si colloca al primo piano senza ascensore, il soggiorno ha la cucina a vista, il bagno è cieco con vasca.","Il riscaldamento è autonomo e lo stabile offre servizio di portineria tutto il giorno e un ampio cortile condominiale.","L'immobile è posto in una posizione strategica grazie alla vicinanza ai mezzi di trasporto pubblici e dai principali trasporti pubblici.","550 m","Istituto Scientifico Sperimentale Luigi Cremona","580 m","2,0 Km","250 m","350 m","","","","","","","","","",""
"60813587","https://www.tecnocasa.it/vendita/appartamenti/milano/pantigliate/60813587.html","Quadrilocale in vendita a Pantigliate - Milano. € 250.000, 105 Mq - Tecnocasa.it - 60813587","€ 250.000","4 locali","105 Mq","2 bagni","Quadrilocale in vendita","Pantigliate, Via Armellini","Quadrilocale in vendita","+17","60813587","3","€ 1.251 / mese  ","€ 2.500","590 m","Z409","2,8 Km","","","","","","","","D","","1978","Centralizzato","A radiatori","Metano","Intermed Sas","Viale Risorgimento, 31 20090 Pantigliate (MI)","mihc4@tecnocasa.it","0282306561","mihc4@tecnocasa.it","300 m","1,1 Km","Dpiù","400 m","148.12 kW h/m² anno","2.57 kW h/m² anno","Jari Danelli","Responsabile","Corrado Pepe","Affiliato","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60825356","https://www.tecnocasa.it/vendita/appartamenti/milano/peschiera-borromeo/60825356.html","Bilocale in vendita a Peschiera Borromeo, Bettola - Milano. € 170.000, 60 Mq - Tecnocasa.it - 60825356","€ 170.000","2 locali","60 Mq","1 bagno","Bilocale in vendita","Peschiera Borromeo, Via Salvatore Quasimodo - Bettola","Bilocale in vendita","+34","60825356","1","€ 851 / mese  ","€ 1.200","","","","","","","","","","","D","98,88 kW h/m² anno","1999","Autonomo","A radiatori","Metano","Studio Peschiera Borromeo Snc","P.zza Riccardo Lombardi, 1 20068 Peschiera Borromeo (MI)","mihc7@tecnocasa.it","0282306703","mihc7@tecnocasa.it","","","","","","","Fausto C. Arfini","Affiliato","Paola Mosca","Coordinatrice","Completo","","","","","","","","","Michel Freri","Responsabile","","","","","","340 m","1,5 Km","800 m","€ 168.000","50 Mq","1 bagno","€ 185.000","(-6%)","","","","","","","","","","","","","","","","","","","","","","",""
"60826832","https://www.tecnocasa.it/vendita/appartamenti/milano/peschiera-borromeo/60826832.html","Bilocale in vendita a Peschiera Borromeo, Bellaria - Milano. € 205.000, 81 Mq - Tecnocasa.it - 60826832","€ 205.000","2 locali","81 Mq","1 bagno","Bilocale in vendita","Peschiera Borromeo, Via Oriana Fallaci - Bellaria","Bilocale in vendita","+37","60826832","1","€ 1.026 / mese  ","€ 2.000","330 m","Via Matteotti Via Aldo Moro (Peschiera Borromeo)","440 m","Pittarello Peschiera Borromeo","","","","","","","","35 kW h/m² anno","2013","Centralizzato","A pavimento","Metano","Studio Peschiera Borromeo Snc","P.zza Riccardo Lombardi, 1 20068 Peschiera Borromeo (MI)","mihc7@tecnocasa.it","0282306703","mihc7@tecnocasa.it","","","","","","","Fausto C. Arfini","Affiliato","Paola Mosca","Coordinatrice","","","","","","","","","","Michel Freri","Responsabile","Lo Scorpione","290 m","Black & White","430 m","Il Moro","870 m","1,4 Km","450 m","€ 170.000","98 Mq","2 bagni","€ 185.000","(-6%)","","","","","","","","","","","","","","Fooding","480 m","840 m","","","","","","2,5 Km","Università della terza età Gian Piero Profumi"
"60812224","https://www.tecnocasa.it/vendita/appartamenti/milano/vignate/60812224.html","Trilocale in vendita a Vignate - Milano. € 210.000, 95 Mq - Tecnocasa.it - 60812224","€ 210.000","3 locali","95 Mq","1 bagno","Trilocale in vendita","Vignate, Via Strettone","Trilocale in vendita","+21","60812224","2","€ 1.051 / mese  ","€ 900","","","","","","","","Farmacia Sant'Ambrogio","550 m","Farmacia Comunale","F","132,60 kW h/m² anno","1983","Autonomo","A radiatori","Metano","Intermed Sas","Via A. Volta, 18 20060 Vignate (MI)","mihbc@tecnocasa.it","0282306539","mihbc@tecnocasa.it","","","","","","","Corrado Pepe","Affiliato","Alessandro Pepe","Collaboratore","Assente","Luisella","460 m","Panetteria Romagnoli","540 m","800 m","","","","","","Osteria Retrò","410 m","Il Mulino","560 m","La Sorgente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60829612","https://www.tecnocasa.it/vendita/ville/milano/cassina-de-pecchi/60829612.html","Villa a schiera in vendita a Cassina De' Pecchi - Milano. € 346.000, 168 Mq - Tecnocasa.it - 60829612","€ 346.000","4 locali","168 Mq","2 bagni","Villa a schiera in vendita","Cassina De' Pecchi","Villa a schiera in vendita","+16","60829612","","€ 1.732 / mese  ","€ 1.400","580 m","Approdo","2,1 Km","","","","","","","","G","174,89 kW h/m² anno","1985","Autonomo","A radiatori","Metano","Tecnomed Sas","Via Papa Giovanni XXIII, 7 20060 Cassina De' Pecchi (MI)","mihb4@tecnocasa.it","0282306497","mihb4@tecnocasa.it","","","","","","","Dario Chiappa","Affiliato","Christian Varriale","Collaboratore","","","","","","","","","","Fallou Diop","Collaboratore","","","","","","","","","","","","€ 375.000","(-5%)","Terra di 1","1","","","","","","","","","","","","","","","","","","","","",""
