output_colname,expected_colname,distance
primaryTitle,primaryTitle,0.802
primaryTitle.1,primaryTitle,0.7979591836734694
runtimeMinutes,genres,1.0
runtimeMinutes.1,genres,1.0
primaryTitle.2,originalTitle,0.96045197740113
titleType,primaryTitle,0.9519553072625698
primaryTitle.3,primaryTitle,0.992633517495396
runtimeMinutes.2,genres,1.0
Star,primaryTitle,0.992633517495396
runtimeMinutes.3,genres,1.0
runtimeMinutes.4,genres,1.0
titleType.1,primaryTitle,0.9517470881863561
Unknown,primaryTitle,0.957936507936508
runtimeMinutes.5,genres,1.0
tconst,originalTitle,0.9959839357429718
release date,runtimeMinutes,0.9636363636363636
release_date,startYear,0.8636363636363636
primaryTitle.4,primaryTitle,0.9192100538599641
originalTitle,primaryTitle,0.8416988416988417
